id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
2,1.0,76.0,1.0,3.0,0.0,0.0,0.0,33536.0,26.0,183.0,0.0
4,1.0,21.0,1.0,11.0,1.0,1.0,0.0,28619.0,152.0,203.0,0.0
5,0.0,29.0,1.0,41.0,1.0,1.0,0.0,27496.0,152.0,39.0,0.0
6,0.0,24.0,1.0,33.0,0.0,1.0,1.0,2630.0,160.0,176.0,0.0
7,1.0,23.0,1.0,11.0,0.0,1.0,1.0,23367.0,152.0,249.0,0.0
9,0.0,24.0,1.0,3.0,1.0,1.0,0.0,27619.0,152.0,28.0,0.0
10,0.0,32.0,1.0,6.0,1.0,1.0,0.0,28771.0,152.0,80.0,0.0
18,0.0,25.0,1.0,35.0,1.0,1.0,0.0,46622.0,152.0,299.0,0.0
19,1.0,42.0,1.0,28.0,0.0,0.0,1.0,33667.0,124.0,158.0,0.0
31,0.0,26.0,1.0,8.0,0.0,1.0,0.0,2630.0,160.0,136.0,0.0
32,1.0,79.0,1.0,28.0,0.0,0.0,1.0,57444.0,26.0,222.0,0.0
33,0.0,48.0,1.0,28.0,0.0,0.0,1.0,36951.0,122.0,149.0,0.0
34,0.0,24.0,1.0,36.0,0.0,1.0,1.0,43129.0,152.0,49.0,0.0
35,0.0,32.0,1.0,30.0,1.0,1.0,0.0,27638.0,152.0,169.0,0.0
36,1.0,41.0,1.0,36.0,1.0,0.0,0.0,30039.0,124.0,88.0,0.0
37,1.0,71.0,1.0,8.0,1.0,0.0,0.0,40903.0,19.0,253.0,0.0
38,0.0,25.0,1.0,28.0,1.0,1.0,0.0,76251.0,152.0,107.0,0.0
39,1.0,45.0,1.0,8.0,0.0,0.0,1.0,42297.0,124.0,264.0,0.0
40,1.0,72.0,1.0,41.0,1.0,0.0,0.0,32210.0,152.0,233.0,0.0
41,1.0,30.0,1.0,30.0,0.0,1.0,1.0,24550.0,124.0,45.0,0.0
42,0.0,54.0,1.0,28.0,0.0,0.0,2.0,38560.0,122.0,184.0,0.0
43,1.0,27.0,1.0,41.0,0.0,1.0,0.0,21078.0,152.0,251.0,0.0
44,0.0,38.0,1.0,35.0,1.0,0.0,0.0,2630.0,152.0,153.0,0.0
45,0.0,26.0,1.0,30.0,1.0,1.0,0.0,31136.0,152.0,186.0,0.0
46,1.0,56.0,1.0,28.0,0.0,0.0,1.0,34617.0,124.0,71.0,0.0
47,0.0,29.0,1.0,15.0,1.0,1.0,0.0,32923.0,152.0,34.0,0.0
51,0.0,22.0,1.0,50.0,0.0,1.0,0.0,15052.0,152.0,141.0,0.0
52,1.0,22.0,1.0,16.0,0.0,1.0,1.0,30673.0,152.0,216.0,0.0
53,0.0,49.0,1.0,3.0,1.0,0.0,0.0,25553.0,152.0,130.0,0.0
55,0.0,44.0,1.0,28.0,0.0,0.0,1.0,45415.0,13.0,73.0,0.0
56,0.0,20.0,1.0,47.0,0.0,1.0,1.0,25380.0,160.0,171.0,0.0
57,1.0,39.0,1.0,28.0,0.0,0.0,1.0,57582.0,26.0,141.0,0.0
60,1.0,29.0,1.0,3.0,1.0,1.0,0.0,35463.0,152.0,165.0,0.0
61,1.0,49.0,1.0,8.0,0.0,0.0,1.0,2630.0,156.0,30.0,0.0
62,0.0,20.0,1.0,50.0,0.0,1.0,1.0,36615.0,160.0,218.0,0.0
63,0.0,62.0,1.0,28.0,0.0,2.0,1.0,33830.0,26.0,130.0,0.0
64,1.0,58.0,1.0,19.0,1.0,0.0,0.0,39661.0,26.0,141.0,0.0
65,1.0,39.0,1.0,15.0,0.0,0.0,1.0,37849.0,124.0,22.0,0.0
66,0.0,59.0,1.0,30.0,0.0,0.0,1.0,34426.0,26.0,147.0,0.0
