id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
2,Male,76,1,3,0,1-2 Year,No,33536,26,183,0
4,Male,21,1,11,1,< 1 Year,No,28619,152,203,0
5,Female,29,1,41,1,< 1 Year,No,27496,152,39,0
6,Female,24,1,33,0,< 1 Year,Yes,2630,160,176,0
7,Male,23,1,11,0,< 1 Year,Yes,23367,152,249,0
9,Female,24,1,3,1,< 1 Year,No,27619,152,28,0
10,Female,32,1,6,1,< 1 Year,No,28771,152,80,0
12,,,,,1,< 1 Year,No,48699,152,289,0
13,,,,,1,1-2 Year,No,31409,14,221,0
14,Male,76,1,28,0,,,,,15,0
15,Male,71,1,28,1,1-2 Year,No,46818,30,,0
17,Female,25,,,,< 1 Year,Yess,26218,160,,0
18,Female,25,1,35,1,< 1 Year,No,46622,152,299,0
19,Male,42,1,28,0,1-2 Year,Yes,33667,124,158,0
21,Male,65,1,28,0,1-2 Year,,41184,124,116,0
22,Male,49,1,28,0,1-2 Year,,50791,124,177,0
23,Male,23,1,50,1,< 1 Year,,45283,152,232,0
24,Male,44,1,28,0,1-2 Year,,41852,163,60,0
25,Male,34,1,15,1,1-2 Year,,38111,152,180,0
26,Female,21,1,28,1,< 1 Year,,61964,152,72,0
28,Male,26,1,6,1,< 1 Year,,19135,152,57,0
29,Female,25,1,8,1,< 1 Year,,27946,152,223,0
31,Female,26,1,8,0,< 1 Year,No,2630,160,136,0
32,Male,79,1,28,0,1-2 Year,Yes,57444,26,222,0
33,Female,48,1,28,0,1-2 Year,Yes,36951,122,149,0
34,Female,24,1,36,0,< 1 Year,Yes,43129,152,49,0
35,Female,32,1,30,1,< 1 Year,No,27638,152,169,0
36,Male,41,1,36,1,1-2 Year,No,30039,124,88,0
37,Male,71,1,8,1,1-2 Year,No,40903,19,253,0
38,Female,25,1,28,1,< 1 Year,No,76251,152,107,0
39,Male,45,1,8,0,1-2 Year,Yes,42297,124,264,0
40,Male,72,1,41,1,1-2 Year,No,32210,152,233,0
41,Male,30,1,30,0,< 1 Year,Yes,24550,124,45,0
42,Female,54,1,28,0,1-2 Year,Yess,38560,122,184,0
43,Male,27,1,41,0,< 1 Year,No,21078,152,251,0
